cmpdname,drugbank_id,atc_code,atc_label
Lamotrigine,DB00555,N03,Antiepileptics 
Lansoprazole,DB00448,A02,Drugs for acid related disorders 
Leflunomide,DB01097,L04,Immunosuppressants 
Letrozole,DB01006,L02,Endocrine therapy 
Lidoflazine,DB13766,C08,Calcium channel blockers 
Linopirdine,DB13806,N06,Psychoanaleptics 
Lofepramine,DB13411,N06,Psychoanaleptics 
Lomefloxacin,DB00978,J01,Antibacterials for systemic use 
Lomefloxacin,DB00978,S01,Ophthalmologicals 
Lomustine,DB01206,L01,Antineoplastic agents 
Loperamide,DB00836,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Loratadine,DB00455,R06,Antihistamines for systemic use 
Lorazepam,DB00186,N05,Psycholeptics 
Losartan,DB00678,C09,Agents acting on the renin-angiotensin system 
Loxapine,DB00408,N05,Psycholeptics 
Loxoprofen,DB09212,M02,Topical products for joint and muscular pain 
Mafenide,DB06795,D06,Antibiotics and chemotherapeutics for dermatological use 
Malathion,DB00772,P03,"Ectoparasiticides, incl. scabicides, insecticides and repellents "
Manidipine,DB09238,C08,Calcium channel blockers 
Maprotiline,DB00934,N06,Psychoanaleptics 
Mazindol,DB00579,A08,"Antiobesity preparations, excl. diet products "
Mebendazole,DB00643,P02,Anthelmintics 
Mebeverine,DB12554,A03,Drugs for functional gastrointestinal disorders 
Mecamylamine,DB00657,C02,Antihypertensives 
Mechlorethamine,DB00888,L01,Antineoplastic agents 
Meclizine,DB00737,R06,Antihistamines for systemic use 
Meclofenamic Acid,DB00939,M01,Antiinflammatory and antirheumatic products 
Meclofenamic Acid,DB00939,M02,Topical products for joint and muscular pain 
Meclofenoxate,DB13758,N06,Psychoanaleptics 
Medazepam,DB13437,N05,Psycholeptics 
Mefenamic Acid,DB00784,M01,Antiinflammatory and antirheumatic products 
Lariam,DB00358,P01,Antiprotozoals 
Mefruside,DB13405,C03,Diuretics 
Memantine,DB01043,N06,Psychoanaleptics 
Menadione,DB00170,B02,Antihemorrhagics 
Mepenzolate,DB04843,A03,Drugs for functional gastrointestinal disorders 
Meperidine,DB00454,N02,Analgesics 
Mephenesin,DB13583,M03,Muscle relaxants 
Mephenytoin,DB00532,N03,Antiepileptics 
Mepivacaine,DB00961,N01,Anesthetics 
Meprobamate,DB00371,N05,Psycholeptics 
Mequitazine,DB01071,R06,Antihistamines for systemic use 
Mesalamine,DB00244,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Mesoridazine,DB00933,N05,Psycholeptics 
Metaproterenol,DB00816,R03,Drugs for obstructive airway diseases 
Metaproterenol,DB00816,R03,Drugs for obstructive airway diseases 
Metformin,DB00331,A10,Drugs used in diabetes 
Methadone,DB00333,N07,Other nervous system drugs 
Methantheline,DB00940,A03,Drugs for functional gastrointestinal disorders 
Methapyrilene,DB04819,R06,Antihistamines for systemic use 
Metharbital,DB00463,N03,Antiepileptics 
Methazolamide,DB00703,S01,Ophthalmologicals 
Methenamine,DB06799,J01,Antibacterials for systemic use
Methocarbamol,DB00423,M03,Muscle relaxants 
Methoxsalen,DB00553,D05,Antipsoriatics 
Methoxsalen,DB00553,D05,Antipsoriatics 
Methoxyflurane,DB01028,N02,Analgesics
Methoxyphenamine,DB13624,R03,Drugs for obstructive airway diseases 
Methyclothiazide,DB00232,C03,Diuretics 
Methylphenidate,DB00422,N06,Psychoanaleptics 
Methyprylon,DB01107,N05,Psycholeptics 
Meticrane,DB13284,C03,Diuretics 
Metixene,DB00340,N04,Anti-parkinson drugs 
Metoclopramide,DB01233,A03,Drugs for functional gastrointestinal disorders 
Metolazone,DB00524,C03,Diuretics 
Metoprolol,DB00264,C07,Beta blocking agents 
Metronidazole,DB00916,A01,Stomatological preparations 
Metronidazole,DB00916,D06,Antibiotics and chemotherapeutics for dermatological use 
Metronidazole,DB00916,G01,Gynecological antiinfectives and antiseptics 
Metronidazole,DB00916,J01,Antibacterials for systemic use 
Metronidazole,DB00916,P01,Antiprotozoals 
Metyrapone,DB01011,V04,Diagnostic agents 
Mexazolam,DB15489,N05,Psycholeptics 
Mexiletine,DB00379,C01,Cardiac therapy 
Mianserin,DB06148,N06,Psychoanaleptics 
Miconazole,DB01110,A01,Stomatological preparations 
Miconazole,DB01110,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Miconazole,DB01110,D01,Antifungals for dermatological use 
Miconazole,DB01110,G01,Gynecological antiinfectives and antiseptics 
Miconazole,DB01110,J02,Antimycotics for systemic use 
Miconazole,DB01110,S02,Otologicals 
Midazolam,DB00683,N05,Psycholeptics 
Midodrine,DB00211,C01,Cardiac therapy 
Milrinone,DB00235,C01,Cardiac therapy 
Minaprine,DB00805,N06,Psychoanaleptics 
Minoxidil,DB00350,C02,Antihypertensives 
Mirtazapine,DB00370,N06,Psychoanaleptics 
Mitotane,DB00648,L01,Antineoplastic agents
Mitoxantrone,DB01204,L01,Antineoplastic agents 
Moclobemide,DB01171,N06,Psychoanaleptics 
Modafinil,DB00745,N06,Psychoanaleptics 
Moperone,DB13554,N05,Psycholeptics 
Mosapramine,DB13676,N05,Psycholeptics 
Moxisylyte,DB09205,C04,Peripheral vasodilators 
Moxisylyte,DB09205,G04,Urologicals 
Entinostat,DB11841,L01,Antineoplastic agents 
Diethyltoluamide,DB11282,P03,"Ectoparasiticides, incl. scabicides, insecticides and repellents "
Nabumetone,DB00461,M01,Antiinflammatory and antirheumatic products 
Nadifloxacin,DB12447,D10,Anti-acne preparations 
Nafronyl,DB13588,C04,Peripheral vasodilators 
Nalidixic Acid,DB00779,J01,Antibacterials for systemic use 
Naphazoline,DB06711,R01,Nasal preparations 
Naphazoline,DB06711,R01,Nasal preparations 
Naphazoline,DB06711,S01,Ophthalmologicals 
Naratriptan,DB00952,N02,Analgesics 
Nefazodone,DB01149,N06,Psychoanaleptics 
Nefopam,DB12293,N02,Analgesics
Neostigmine,DB01400,N07,Other nervous system drugs 
Neostigmine,DB01400,S01,Ophthalmologicals 
Nevirapine,DB00238,J05,Antivirals for systemic use 
Nialamide,DB04820,N06,Psychoanaleptics 
Nicardipine,DB00622,C08,Calcium channel blockers 
Niceritrol,DB13441,C10,Lipid modifying agents 
Niclosamide,DB06803,P02,Anthelmintics 
Nifedipine,DB01115,C08,Calcium channel blockers 
Nifenazone,DB13407,M02,Topical products for joint and muscular pain 
Nifenazone,DB13407,N02,Analgesics 
Niflumic Acid,DB04552,M01,Antiinflammatory and antirheumatic products 
Niflumic Acid,DB04552,M02,Topical products for joint and muscular pain 
Nilutamide,DB00665,L02,Endocrine therapy 
Nilvadipine,DB06712,C08,Calcium channel blockers 
Nimesulide,DB04743,M01,Antiinflammatory and antirheumatic products 
Nimesulide,DB04743,M02,Topical products for joint and muscular pain 
Nimodipine,DB00393,C08,Calcium channel blockers 
Nisoldipine,DB00401,C08,Calcium channel blockers 
Nitrazepam,DB01595,N05,Psycholeptics 
Nitrendipine,DB01054,C08,Calcium channel blockers 
Nitroglycerin,DB00727,C01,Cardiac therapy 
Nitroglycerin,DB00727,C05,Vasoprotectives 
Nizofenone,DB13546,N06,Psychoanaleptics 
Nomifensine,DB04821,N06,Psychoanaleptics 
Norfenefrine,DB13378,C01,Cardiac therapy 
Norfloxacin,DB01059,J01,Antibacterials for systemic use 
Norfloxacin,DB01059,S01,Ophthalmologicals 
Nortriptyline,DB00540,N06,Psychoanaleptics 
Nylidrin,DB06152,C04,Peripheral vasodilators 
Nylidrin,DB06152,G02,Other gynecologicals 
Octopamine,DB13251,C01,Cardiac therapy 
Ofloxacin,DB01165,J01,Antibacterials for systemic use 
Ofloxacin,DB01165,S01,Ophthalmologicals 
Ofloxacin,DB01165,S02,Otologicals 
Omeprazole,DB00338,A02,Drugs for acid related disorders 
Ondansetron,DB00904,A04,Antiemetics and antinauseants 
Oxamniquine,DB01096,P02,Anthelmintics 
Oxaprozin,DB00991,M01,Antiinflammatory and antirheumatic products 
Oxatomide,DB12877,R06,Antihistamines for systemic use 
Oxazepam,DB00842,N05,Psycholeptics 
Oxeladin,DB04822,R05,Cough and cold preparations 
Oxethazaine,DB12532,C05,Vasoprotectives 
Oxiracetam,DB13601,N06,Psychoanaleptics 
Oxolinic Acid,DB13627,J01,Antibacterials for systemic use 
Oxprenolol,DB01580,C07,Beta blocking agents 
Oxybuprocaine,DB00892,D04,"Antipruritics, incl. antihistamines, anesthetics, etc. "
Oxybuprocaine,DB00892,S01,Ophthalmologicals 
Oxybutynin,DB01062,G04,Urologicals 
Oxymetazoline,DB00935,R01,Nasal preparations 
Oxymetazoline,DB00935,R01,Nasal preparations 
Oxymetazoline,DB00935,S01,Ophthalmologicals 
Oxypertine,DB13403,N05,Psycholeptics 
Oxyphenbutazone,DB03585,M01,Antiinflammatory and antirheumatic products 
Oxyphenbutazone,DB03585,M02,Topical products for joint and muscular pain 
Oxyphenbutazone,DB03585,S01,Ophthalmologicals 
Oxyphencyclimine,DB00383,A03,Drugs for functional gastrointestinal disorders 
4-Aminosalicylic acid,DB00233,J04,Antimycobacterials 
Pamidronic Acid,DB00282,M05,Drugs for treatment of bone diseases 
Pantoprazole,DB00213,A02,Drugs for acid related disorders 
Papaverine,DB01113,A03,Drugs for functional gastrointestinal disorders 
Papaverine,DB01113,G04,Urologicals 
Pargyline,DB01626,C02,Antihypertensives 
Pemoline,DB01230,N06,Psychoanaleptics 
Pentobarbital,DB00312,N05,Psycholeptics 
Pentoxifylline,DB00806,C04,Peripheral vasodilators 
Perazine,DB12710,N05,Psycholeptics 
Perhexiline,DB01074,C08,Calcium channel blockers 
Periciazine,DB01608,N05,Psycholeptics 
Perphenazine,DB00850,N05,Psycholeptics 
Phenacemide,DB01121,N03,Antiepileptics 
Phenacetin,DB03783,N02,Analgesics 
Phenazopyridine,DB01438,G04,Urologicals 
Phenindione,DB00498,B01,Antithrombotic agents 
Pheniramine,DB01620,D04,"Antipruritics, incl. antihistamines, anesthetics, etc. "
Pheniramine,DB01620,R06,Antihistamines for systemic use 
Phenobarbital,DB01174,N03,Antiepileptics 
Phenolphthalein,DB04824,A06,Drugs for constipation 
Phenolsulfonphthalein,DB13212,V04,Diagnostic agents 
Phenothrin,DB13717,P03,"Ectoparasiticides, incl. scabicides, insecticides and repellents "
Phenoxybenzamine,DB00925,C04,Peripheral vasodilators 
Phenprobamate,DB13354,M03,Muscle relaxants 
Phentermine,DB00191,A08,"Antiobesity preparations, excl. diet products "
Phenylbutazone,DB00812,M01,Antiinflammatory and antirheumatic products 
Phenylbutazone,DB00812,M02,Topical products for joint and muscular pain 
Phthalylsulfathiazole,DB13248,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Moxonidine,DB09242,C02,Antihypertensives 
Picotamide,DB13327,B01,Antithrombotic agents 
Pimethixene,DB13292,R06,Antihistamines for systemic use 
Pinacidil,DB06762,C02,Antihypertensives 
Pindolol,DB00960,C07,Beta blocking agents 
Pioglitazone,DB01132,A10,Drugs used in diabetes 
Pipamperone,DB09286,N05,Psycholeptics 
Pipemidic Acid,DB13823,J01,Antibacterials for systemic use 
Pipenzolate,DB13844,A03,Drugs for functional gastrointestinal disorders 
Piperazine,DB00592,P02,Anthelmintics 
Piperidolate,DB13351,A03,Drugs for functional gastrointestinal disorders 
Pipobroman,DB00236,L01,Antineoplastic agents 
Piracetam,DB09210,N06,Psychoanaleptics 
Pirbuterol,DB01291,R03,Drugs for obstructive airway diseases 
Pirbuterol,DB01291,R03,Drugs for obstructive airway diseases 
Pirenzepine,DB00670,A02,Drugs for acid related disorders 
Piretanide,DB02925,C03,Diuretics 
Piribedil,DB12478,N04,Anti-parkinson drugs 
Piromidic Acid,DB13744,J01,Antibacterials for systemic use 
Potassium Chloride,DB00761,A12,Mineral supplements 
Potassium Chloride,DB00761,B05,Blood substitutes and perfusion solutions 
Potassium Iodide,DB06715,R05,Cough and cold preparations 
Potassium Iodide,DB06715,S01,Ophthalmologicals
Potassium Iodide,DB06715,V03,All other therapeutic products 
Practolol,DB01297,C07,Beta blocking agents 
Pramoxine,DB09345,C05,Vasoprotectives 
Pramoxine,DB09345,D04,"Antipruritics, incl. antihistamines, anesthetics, etc. "
Pranlukast,DB01411,R03,Drugs for obstructive airway diseases 
Pranoprofen,DB13514,S01,Ophthalmologicals 
Prazepam,DB01588,N05,Psycholeptics 
Praziquantel,DB01058,P02,Anthelmintics 
Prazosin,DB00457,C02,Antihypertensives 
Pridinol,DB13642,M03,Muscle relaxants 
Prilocaine,DB00750,N01,Anesthetics 
Primaquine,DB01087,P01,Antiprotozoals 
Primidone,DB00794,N03,Antiepileptics 
Probenecid,DB01032,M04,Antigout preparations 
Probucol,DB01599,C10,Lipid modifying agents 
Procainamide,DB01035,C01,Cardiac therapy 
Procaine,DB00721,C05,Vasoprotectives 
Procaine,DB00721,N01,Anesthetics 
Procaine,DB00721,S01,Ophthalmologicals 
Procarbazine,DB01168,L01,Antineoplastic agents 
Prochlorperazine,DB00433,N05,Psycholeptics 
Procyclidine,DB00387,N04,Anti-parkinson drugs 
Proglumetacin,DB13527,M01,Antiinflammatory and antirheumatic products 
Proglumide,DB13431,A02,Drugs for acid related disorders 
Promazine,DB00420,N05,Psycholeptics 
Promethazine,DB01069,D04,"Antipruritics, incl. antihistamines, anesthetics, etc. "
Promethazine,DB01069,R06,Antihistamines for systemic use 
Propafenone,DB01182,C01,Cardiac therapy 
Propantheline,DB00782,A03,Drugs for functional gastrointestinal disorders 
Proparacaine,DB00807,S01,Ophthalmologicals 
Propentofylline,DB06479,N06,Psychoanaleptics 
Propiomazine,DB00777,N05,Psycholeptics 
Propiverine,DB12278,G04,Urologicals 
Propofol,DB00818,N01,Anesthetics 
Propranolol,DB00571,C07,Beta blocking agents 
Propyliodone,DB09366,V08,Contrast media 
Protriptyline,DB00344,N06,Psychoanaleptics 
Proxyphylline,DB13449,R03,Drugs for obstructive airway diseases 
Pyridostigmine,DB00545,N07,Other nervous system drugs 
Pyrilamine,DB06691,D04,"Antipruritics, incl. antihistamines, anesthetics, etc. "
Pyrilamine,DB06691,R06,Antihistamines for systemic use 
Pyrimethamine,DB00205,P01,Antiprotozoals 
Pyrithyldione,DB13331,N05,Psycholeptics 
Quazepam,DB01589,N05,Psycholeptics 
Quetiapine,DB01224,N05,Psycholeptics 
Rabeprazole,DB01129,A02,Drugs for acid related disorders 
Raloxifene,DB00481,G03,Sex hormones and modulators of the genital system 
Rebamipide,DB11656,A02,Drugs for acid related disorders 
Resorcinol,DB11085,D10,Anti-acne preparations 
Resorcinol,DB11085,S01,Ophthalmologicals 
Rimantadine,DB00478,J05,Antivirals for systemic use 
Risperidone,DB00734,N05,Psycholeptics 
Rizatriptan,DB00953,N02,Analgesics 
Rofecoxib,DB00533,M01,Antiinflammatory and antirheumatic products 
Ropinirole,DB00268,N04,Anti-parkinson drugs 
Salicylamide,DB08797,N02,Analgesics 
Salmeterol,DB00938,R03,Drugs for obstructive airway diseases 
Salsalate,DB01399,N02,Analgesics 
Secobarbital,DB00418,N05,Psycholeptics 
Sennoside,DB11365,A06,Drugs for constipation 
Sevoflurane,DB01236,N01,Anesthetics 
Sibutramine,DB01105,A08,"Antiobesity preparations, excl. diet products "
Sulfadiazine,DB00359,D06,Antibiotics and chemotherapeutics for dermatological use 
Sulfadiazine,DB00359,J01,Antibacterials for systemic use 
Simfibrate,DB13433,C10,Lipid modifying agents 
Linsidomine,DB13400,C01,Cardiac therapy 
Sodium Chloride,DB09153,A12,Mineral supplements 
Sodium Chloride,DB09153,B05,Blood substitutes and perfusion solutions 
Sodium Chloride,DB09153,B05,Blood substitutes and perfusion solutions 
Sodium Chloride,DB09153,S01,Ophthalmologicals
Risedronic Acid,DB00884,M05,Drugs for treatment of bone diseases 
Sotalol,DB00489,C07,Beta blocking agents 
Imatinib,DB00619,L01,Antineoplastic agents 
Vorinostat,DB02546,L01,Antineoplastic agents 
Succinylcholine,DB00202,M03,Muscle relaxants 
Succinylsulfathiazole,DB13580,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Sulconazole,DB06820,D01,Antifungals for dermatological use 
Sulfacetamide,DB00634,D10,Anti-acne preparations 
Sulfacetamide,DB00634,S01,Ophthalmologicals 
Sulfadimethoxine,DB06150,J01,Antibacterials for systemic use 
Sulfaguanidine,DB13726,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Sulfamerazine,DB01581,D06,Antibiotics and chemotherapeutics for dermatological use 
Sulfamerazine,DB01581,J01,Antibacterials for systemic use 
Sulfameter,DB06821,J01,Antibacterials for systemic use 
Sulfamethazine,DB01582,J01,Antibacterials for systemic use 
Sulfamethizole,DB00576,B05,Blood substitutes and perfusion solutions 
Sulfamethizole,DB00576,D06,Antibiotics and chemotherapeutics for dermatological use 
Sulfamethizole,DB00576,J01,Antibacterials for systemic use 
Sulfamethizole,DB00576,S01,Ophthalmologicals 
Sulfamethoxazole,DB01015,J01,Antibacterials for systemic use 
Sulfamethoxypyridazine,DB13773,J01,Antibacterials for systemic use 
Sulfanilamide,DB00259,D06,Antibiotics and chemotherapeutics for dermatological use 
Sulfanilamide,DB00259,J01,Antibacterials for systemic use 
Sulfaphenazole,DB06729,J01,Antibacterials for systemic use 
Sulfaphenazole,DB06729,S01,Ophthalmologicals 
Sulfapyridine,DB00891,J01,Antibacterials for systemic use 
Sulfasalazine,DB00795,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Sulfathiazole,DB06147,D06,Antibiotics and chemotherapeutics for dermatological use 
Sulfathiazole,DB06147,J01,Antibacterials for systemic use 
Sulfinpyrazone,DB01138,M04,Antigout preparations 
Sulfisomidine,DB13283,J01,Antibacterials for systemic use 
Sulfisoxazole,DB00263,J01,Antibacterials for systemic use 
Sulfisoxazole,DB00263,S01,Ophthalmologicals 
Sulfobromophthalein,DB13215,V04,Diagnostic agents 
Sulpiride,DB00391,N05,Psycholeptics 
Sulthiame,DB08329,N03,Antiepileptics 
Sultopride,DB13273,N05,Psycholeptics 
Sumatriptan,DB00669,N02,Analgesics 
Suprofen,DB00870,M01,Antiinflammatory and antirheumatic products 
Suxibuzone,DB13232,M02,Topical products for joint and muscular pain 
Gatifloxacin,DB01044,J01,Antibacterials for systemic use 
Gatifloxacin,DB01044,S01,Ophthalmologicals 
Tazarotene,DB00799,D05,Antipsoriatics 
Tegafur,DB09256,L01,Antineoplastic agents 
Temazepam,DB00231,N05,Psycholeptics 
Temozolomide,DB00853,L01,Antineoplastic agents 
Terazosin,DB01162,G04,Urologicals 
Terbutaline,DB00871,R03,Drugs for obstructive airway diseases 
Terbutaline,DB00871,R03,Drugs for obstructive airway diseases 
Terfenadine,DB00342,R06,Antihistamines for systemic use 
Tetracaine,DB09085,C05,Vasoprotectives 
Tetracaine,DB09085,D04,"Antipruritics, incl. antihistamines, anesthetics, etc. "
Tetracaine,DB09085,N01,Anesthetics 
Tetracaine,DB09085,S01,Ophthalmologicals 
Tetrahydrozoline,DB06764,R01,Nasal preparations 
Tetrahydrozoline,DB06764,R01,Nasal preparations 
Tetrahydrozoline,DB06764,S01,Ophthalmologicals 
Thalidomide,DB01041,L04,Immunosuppressants 
Theobromine,DB01412,C03,Diuretics 
Theobromine,DB01412,R03,Drugs for obstructive airway diseases 
Thiabendazole,DB00730,D01,Antifungals for dermatological use 
Thiabendazole,DB00730,P02,Anthelmintics 
Thiethylperazine,DB00372,R06,Antihistamines for systemic use 
Thioridazine,DB00679,N05,Psycholeptics 
Thiotepa,DB04572,L01,Antineoplastic agents 
Thiram,DB13245,P03,"Ectoparasiticides, incl. scabicides, insecticides and repellents "
Thonzylamine,DB11235,D04,"Antipruritics, incl. antihistamines, anesthetics, etc. "
Thonzylamine,DB11235,R01,Nasal preparations 
Thonzylamine,DB11235,R06,Antihistamines for systemic use 
Tiapride,DB13025,N05,Psycholeptics 
Tiaprofenic Acid,DB01600,M01,Antiinflammatory and antirheumatic products 
Ticlopidine,DB00208,B01,Antithrombotic agents 
Tinidazole,DB00911,G01,Gynecological antiinfectives and antiseptics 
Tinidazole,DB00911,J01,Antibacterials for systemic use 
Tinidazole,DB00911,P01,Antiprotozoals 
Tioconazole,DB01007,D01,Antifungals for dermatological use 
Tioconazole,DB01007,G01,Gynecological antiinfectives and antiseptics 
Tiopronin,DB06823,G04,Urologicals 
Tipepidine,DB13474,R05,Cough and cold preparations 
Tizanidine,DB00697,M03,Muscle relaxants 
Nikethamide,DB13655,R07,Other respiratory system products 
Tofisopam,DB08811,N05,Psycholeptics 
Tolazamide,DB00839,A10,Drugs used in diabetes 
Tolazoline,DB00797,C04,Peripheral vasodilators 
Tolazoline,DB00797,M02,Topical products for joint and muscular pain 
Tolbutamide,DB01124,A10,Drugs used in diabetes 
Tolbutamide,DB01124,V04,Diagnostic agents 
Tolmetin,DB00500,M01,Antiinflammatory and antirheumatic products 
Tolmetin,DB00500,M02,Topical products for joint and muscular pain 
Tolnaftate,DB00525,D01,Antifungals for dermatological use 
Tolperisone,DB06264,M02,Topical products for joint and muscular pain 
Tolperisone,DB06264,M03,Muscle relaxants 
Tramazoline,DB13064,R01,Nasal preparations 
Tranexamic acid,DB00302,B02,Antihemorrhagics 
Parnate,DB00752,N06,Psychoanaleptics 
Trapidil,DB09283,C01,Cardiac therapy 
Trazodone,DB00656,N06,Psychoanaleptics 
Trepibutone,DB13311,A03,Drugs for functional gastrointestinal disorders 
Triamterene,DB00384,C03,Diuretics 
Triazolam,DB00897,N05,Psycholeptics 
Trichlormethiazide,DB01021,C03,Diuretics 
Triclofos,DB06753,N05,Psycholeptics 
Triclosan,DB08604,D08,Antiseptics and disinfectants 
Triclosan,DB08604,D09,Medicated dressings 
Trientine,DB06824,A16,Other alimentary tract and metabolism products 
Trifluoperazine,DB00831,N05,Psycholeptics 
Trifluperidol,DB13552,N05,Psycholeptics 
Triflupromazine,DB00508,N05,Psycholeptics 
Trihexyphenidyl,DB00376,N04,Anti-parkinson drugs 
Trimebutine,DB09089,A03,Drugs for functional gastrointestinal disorders 
Trimeprazine,DB01246,R06,Antihistamines for systemic use 
Trimethadione,DB00347,N03,Antiepileptics 
Trimethobenzamide,DB00662,R06,Antihistamines for systemic use 
Trimethoprim,DB00440,J01,Antibacterials for systemic use 
Trimetrexate,DB01157,P01,Antiprotozoals 
Trimipramine,DB00726,N06,Psychoanaleptics 
Trioxsalen,DB04571,D05,Antipsoriatics 
Trioxsalen,DB04571,D05,Antipsoriatics 
Tripelennamine,DB00792,D04,"Antipruritics, incl. antihistamines, anesthetics, etc. "
Tripelennamine,DB00792,R06,Antihistamines for systemic use 
Troglitazone,DB00197,A10,Drugs used in diabetes 
Tropicamide,DB00809,S01,Ophthalmologicals 
Troxipide,DB13419,A02,Drugs for acid related disorders 
Tuaminoheptane,DB13238,R01,Nasal preparations 
Tuaminoheptane,DB13238,R01,Nasal preparations 
Tulobuterol,DB12248,R03,Drugs for obstructive airway diseases 
Tulobuterol,DB12248,R03,Drugs for obstructive airway diseases 
Tyropanic acid,DB09340,V08,Contrast media 
Delavirdine,DB00705,J05,Antivirals for systemic use 
Undecylenic Acid,DB11117,D01,Antifungals for dermatological use 
Urapidil,DB12661,C02,Antihypertensives 
Valethamate,DB13497,A03,Drugs for functional gastrointestinal disorders 
Venlafaxine,DB00285,N06,Psychoanaleptics 
Vigabatrin,DB01080,N03,Antiepileptics 
Viloxazine,DB09185,N06,Psychoanaleptics 
Xylometazoline,DB06694,R01,Nasal preparations 
Xylometazoline,DB06694,R01,Nasal preparations 
Xylometazoline,DB06694,S01,Ophthalmologicals 
Zafirlukast,DB00549,R03,Drugs for obstructive airway diseases 
Zaleplon,DB00962,N05,Psycholeptics 
Zolpidem,DB00425,N05,Psycholeptics 
Zomepirac,DB04828,M01,Antiinflammatory and antirheumatic products 
Zonisamide,DB00909,N03,Antiepileptics 
Zopiclone,DB01198,N05,Psycholeptics 
Zotepine,DB09225,N05,Psycholeptics 
Dexamethasone,DB01234,D07,"Corticosteroids, dermatological preparations "
Dexamethasone,DB01234,S03,Ophthalmological and otological preparations 
Dexamethasone,DB01234,H02,Corticosteroids for systemic use 
Dexamethasone,DB01234,D07,"Corticosteroids, dermatological preparations "
Dexamethasone,DB01234,S01,Ophthalmologicals 
Dexamethasone,DB01234,A01,Stomatological preparations 
Dexamethasone,DB01234,S01,Ophthalmologicals 
Dexamethasone,DB01234,R01,Nasal preparations 
Dexamethasone,DB01234,S02,Otologicals 
Dexamethasone,DB01234,D10,Anti-acne preparations 
Dexamethasone,DB01234,C05,Vasoprotectives 
Mitomycin,DB00305,L01,Antineoplastic agents 
Oxyphenonium,DB00219,A03,Drugs for functional gastrointestinal disorders 
Hydrocortisone,DB00741,D07,"Corticosteroids, dermatological preparations "
Hydrocortisone,DB00741,S01,Ophthalmologicals 
Hydrocortisone,DB00741,S02,Otologicals 
Hydrocortisone,DB00741,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Hydrocortisone,DB00741,S01,Ophthalmologicals 
Hydrocortisone,DB00741,A01,Stomatological preparations 
Hydrocortisone,DB00741,H02,Corticosteroids for systemic use 
Hydrocortisone,DB00741,D07,"Corticosteroids, dermatological preparations "
Hydrocortisone,DB00741,C05,Vasoprotectives 
Prednisolone,DB00860,D07,"Corticosteroids, dermatological preparations "
Prednisolone,DB00860,S01,Ophthalmologicals 
Prednisolone,DB00860,R01,Nasal preparations 
Prednisolone,DB00860,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Prednisolone,DB00860,S01,Ophthalmologicals 
Prednisolone,DB00860,S02,Otologicals 
Prednisolone,DB00860,A01,Stomatological preparations 
Prednisolone,DB00860,S03,Ophthalmological and otological preparations 
Prednisolone,DB00860,H02,Corticosteroids for systemic use 
Prednisolone,DB00860,D07,"Corticosteroids, dermatological preparations "
Prednisolone,DB00860,C05,Vasoprotectives 
Estriol,DB04573,G03,Sex hormones and modulators of the genital system 
Estriol,DB04573,G03,Sex hormones and modulators of the genital system 
Estradiol,DB00783,G03,Sex hormones and modulators of the genital system 
Reserpine,DB00206,C02,Antihypertensives 
Cephaloridine,DB09008,J01,Antibacterials for systemic use 
Phentolamine,DB00692,C04,Peripheral vasodilators 
Phentolamine,DB00692,V03,All other therapeutic products 
Hexobendine,DB13265,C01,Cardiac therapy 
Sorbitol,DB01638,A06,Drugs for constipation 
Sorbitol,DB01638,A06,Drugs for constipation 
Sorbitol,DB01638,B05,Blood substitutes and perfusion solutions 
Sorbitol,DB01638,V04,Diagnostic agents 
Floxuridine,DB00322,L01,Antineoplastic agents 
Tiratricol,DB03604,H03,Thyroid therapy 
Epinephrine,DB00668,A01,Stomatological preparations 
Epinephrine,DB00668,B02,Antihemorrhagics 
Epinephrine,DB00668,C01,Cardiac therapy 
Epinephrine,DB00668,C10,Lipid modifying agents 
Epinephrine,DB00668,R01,Nasal preparations 
Epinephrine,DB00668,R03,Drugs for obstructive airway diseases 
Epinephrine,DB00668,S01,Ophthalmologicals 
Levothyroxine,DB00451,H03,Thyroid therapy 
Dextroamphetamine,DB01576,N06,Psychoanaleptics 
Spironolactone,DB00421,C03,Diuretics 
Cyclobarbital,DB13737,N05,Psycholeptics 
Aldosterone,DB04630,H02,Corticosteroids for systemic use 
Allobarbital,DB13577,N05,Psycholeptics 
Penicillamine,DB00859,M01,Antiinflammatory and antirheumatic products 
Trichlorfon,DB11473,P02,Anthelmintics 
Lynestrenol,DB12474,G03,Sex hormones and modulators of the genital system 
Lynestrenol,DB12474,G03,Sex hormones and modulators of the genital system 
Norethandrolone,DB12787,A14,Anabolic agents for systemic use 
Prednisone,DB00635,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Prednisone,DB00635,H02,Corticosteroids for systemic use 
